,network,id,balance,molochAddress,tokenAddress,symbol,decimals,bank,balanceFloat,usdValue,ethValue,eurValue
0,arbitrum,0x0d8d5002562405cb1ed598ff4fb48c948f36a18b-token-0xda10009cbd5d07dd0cecc66161fc93d7c9000da1-member-0x000000000000000000000000000000000000dead,500000000000000000,0x0d8d5002562405cb1ed598ff4fb48c948f36a18b,0xda10009cbd5d07dd0cecc66161fc93d7c9000da1,DAI,18,guild,0.5,0.4998,0.0002603,0.44605
1,arbitrum,0x1817f4cac037aab7b983b8be9d84cb78fcbdb2cb-token-0x82af49447d8a07e3bd95bd0d56f35241523fbab1-member-0x000000000000000000000000000000000000dead,10000000000000000,0x1817f4cac037aab7b983b8be9d84cb78fcbdb2cb,0x82af49447d8a07e3bd95bd0d56f35241523fbab1,WETH,18,guild,0.01,19.1796,0.009986,17.1178
2,arbitrum,0x751eda5aa0a1c026f51942e266ed82795428ae34-token-0x82af49447d8a07e3bd95bd0d56f35241523fbab1-member-0x000000000000000000000000000000000000dead,7142857142857144,0x751eda5aa0a1c026f51942e266ed82795428ae34,0x82af49447d8a07e3bd95bd0d56f35241523fbab1,WETH,18,guild,0.007142857142857144,13.69971428571429,0.007132857142857145,12.227000000000002
3,arbitrum,0xea9916a3e6a28eca1c551ee3e78737336068395e-token-0x82af49447d8a07e3bd95bd0d56f35241523fbab1-member-0x000000000000000000000000000000000000dead,1607593024732297159,0xea9916a3e6a28eca1c551ee3e78737336068395e,0x82af49447d8a07e3bd95bd0d56f35241523fbab1,WETH,18,guild,1.6075930247322971,3083.299117715557,1.605342394497672,2751.8455878762516
4,arbitrum,0xefa202ed28b4efbaf835c30a4f1a64ae71078487-token-0x82af49447d8a07e3bd95bd0d56f35241523fbab1-member-0x000000000000000000000000000000000000dead,10000000000000000,0xefa202ed28b4efbaf835c30a4f1a64ae71078487,0x82af49447d8a07e3bd95bd0d56f35241523fbab1,WETH,18,guild,0.01,19.1796,0.009986,17.1178
5,arbitrum,0xf2ebff62ff6cc2e90f2ec0f1a6a241d3628d810d-token-0x82af49447d8a07e3bd95bd0d56f35241523fbab1-member-0x000000000000000000000000000000000000dead,53389149278251212,0xf2ebff62ff6cc2e90f2ec0f1a6a241d3628d810d,0x82af49447d8a07e3bd95bd0d56f35241523fbab1,WETH,18,guild,0.05338914927825122,102.3982527497147,0.05331440446926167,91.39047795152487
6,arbitrum,0xf2ebff62ff6cc2e90f2ec0f1a6a241d3628d810d-token-0xda10009cbd5d07dd0cecc66161fc93d7c9000da1-member-0x000000000000000000000000000000000000dead,9948979591836734694,0xf2ebff62ff6cc2e90f2ec0f1a6a241d3628d810d,0xda10009cbd5d07dd0cecc66161fc93d7c9000da1,DAI,18,guild,9.948979591836736,9.945000000000002,0.005179438775510204,8.875484693877551
7,mainnet,0x00d9619e4fe35f1a69a4b0579a0247575aeef1ef-token-0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2-member-0x000000000000000000000000000000000000dead,33000000000000000,0x00d9619e4fe35f1a69a4b0579a0247575aeef1ef,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,WETH,18,guild,0.033,63.32997,0.0329736,56.74713
8,mainnet,0x016e79e9101a8eaa3e7f46d6d1c267819c09c939-token-0xd15ecdcf5ea68e3995b2d0527a0ae0a3258302f8-member-0x000000000000000000000000000000000000dead,37330037082820,0x016e79e9101a8eaa3e7f46d6d1c267819c09c939,0xd15ecdcf5ea68e3995b2d0527a0ae0a3258302f8,MCX,18,guild,3.733003708282e-05,,,
9,mainnet,0x049a4dc8406a65ff3e6690dfb264fc70d9ab6caa-token-0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2-member-0x000000000000000000000000000000000000dead,490000000000000000,0x049a4dc8406a65ff3e6690dfb264fc70d9ab6caa,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,WETH,18,guild,0.49,940.3540999999999,0.489608,842.6089
10,mainnet,0x071124f489b96101e4a6b1ce78a0c4b9eba881a2-token-0x32b87fb81674aa79214e51ae42d571136e29d385-member-0x000000000000000000000000000000000000dead,1000000000000000000000,0x071124f489b96101e4a6b1ce78a0c4b9eba881a2,0x32b87fb81674aa79214e51ae42d571136e29d385,CYFM,18,guild,1000.0,,,
11,mainnet,0x1ba850cb53280d7f9987be283ff462038ec8abe2-token-0xec0b6afb3f9a609ceed67e2ca551a4c573fd45f7-member-0x000000000000000000000000000000000000dead,3118000000000000000000,0x1ba850cb53280d7f9987be283ff462038ec8abe2,0xec0b6afb3f9a609ceed67e2ca551a4c573fd45f7,RICE,18,guild,3118.0,,,
12,mainnet,0x1e09c5914cbc69bb17872626816abf4fdda24133-token-0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2-member-0x000000000000000000000000000000000000dead,250000000000000000,0x1e09c5914cbc69bb17872626816abf4fdda24133,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,WETH,18,guild,0.25,479.7725,0.2498,429.9025
13,mainnet,0x1efe05df1f5e82a4994093b1982c97e3dd404e65-token-0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2-member-0x000000000000000000000000000000000000dead,161058900,0x1efe05df1f5e82a4994093b1982c97e3dd404e65,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,WETH,18,guild,1.610589e-10,3.0908652440099997e-07,1.6093005287999998e-10,2.76958495029e-07
14,mainnet,0x1efe05df1f5e82a4994093b1982c97e3dd404e65-token-0xf2051511b9b121394fa75b8f7d4e7424337af687-member-0x000000000000000000000000000000000000dead,73575035685507576813363,0x1efe05df1f5e82a4994093b1982c97e3dd404e65,0xf2051511b9b121394fa75b8f7d4e7424337af687,HAUS,18,guild,73575.03568550758,,,
15,mainnet,0x20aadbcef735356fffeb2f40519ac7105c0284b4-token-0xa6a5deea66550772d4a2d77ecbe0187451a4f19e-member-0x000000000000000000000000000000000000dead,10000021000000199999520002,0x20aadbcef735356fffeb2f40519ac7105c0284b4,0xa6a5deea66550772d4a2d77ecbe0187451a4f19e,FRAK,18,guild,10000021.0000002,,,
16,mainnet,0x21b83fc0a1b65c51714b2456940d540eab9bfa44-token-0x6b175474e89094c44da98b954eedeac495271d0f-member-0x000000000000000000000000000000000000dead,230000000000000000000,0x21b83fc0a1b65c51714b2456940d540eab9bfa44,0x6b175474e89094c44da98b954eedeac495271d0f,DAI,18,guild,230.0,229.931,0.119761,205.34400000000002
17,mainnet,0x23fe7836da91f46051fb0fed622277fe93ddde39-token-0x95ad61b0a150d79219dcf64e1e6cc01f0b64c4ce-member-0x000000000000000000000000000000000000dead,187224913575795451,0x23fe7836da91f46051fb0fed622277fe93ddde39,0x95ad61b0a150d79219dcf64e1e6cc01f0b64c4ce,SHIB,18,guild,0.18722491357579546,1.4715878207057522e-06,7.488996543031819e-10,1.3180633915736001e-06
18,mainnet,0x265989a4a7ce6f025db1618667495aa51c5121e9-token-0x6b175474e89094c44da98b954eedeac495271d0f-member-0x000000000000000000000000000000000000dead,60000000000000000000,0x265989a4a7ce6f025db1618667495aa51c5121e9,0x6b175474e89094c44da98b954eedeac495271d0f,DAI,18,guild,60.0,59.982,0.031242000000000002,53.568000000000005
19,mainnet,0x26edf55480c50a2fab52d0d7bdf1dbbf2f4bb14f-token-0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48-member-0x000000000000000000000000000000000000dead,977947693386,0x26edf55480c50a2fab52d0d7bdf1dbbf2f4bb14f,0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48,USDC,6,guild,977947.693386,977849.8986166614,509.11956917675155,873209.4954243595
20,mainnet,0x2bf0689b22c1092aaf6a09437af316985e67ba12-token-0x4a621d9f1b19296d1c0f87637b3a8d4978e9bf82-member-0x000000000000000000000000000000000000dead,1000000000000000000,0x2bf0689b22c1092aaf6a09437af316985e67ba12,0x4a621d9f1b19296d1c0f87637b3a8d4978e9bf82,CYFM,18,guild,1.0,,,
21,mainnet,0x2c0279d18317186c42fcf041bd427367b266fb4e-token-0x6b175474e89094c44da98b954eedeac495271d0f-member-0x000000000000000000000000000000000000dead,20000000000000000000,0x2c0279d18317186c42fcf041bd427367b266fb4e,0x6b175474e89094c44da98b954eedeac495271d0f,DAI,18,guild,20.0,19.994,0.010414,17.856
22,mainnet,0x34b324c676507b6cd14ad8354c6ab621e0c236ad-token-0x9a09645ca92ba93c3be22f34f8be2e49c8d84d5c-member-0x000000000000000000000000000000000000dead,100000000000000000000,0x34b324c676507b6cd14ad8354c6ab621e0c236ad,0x9a09645ca92ba93c3be22f34f8be2e49c8d84d5c,ROOKIE,18,guild,100.0,,,
23,mainnet,0x36fab4ac1d36e5f1015236261e42365cb4feac52-token-0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2-member-0x000000000000000000000000000000000000dead,61868152945831,0x36fab4ac1d36e5f1015236261e42365cb4feac52,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,WETH,18,guild,6.1868152945831e-05,0.11873055363681483,6.181865842347434e-05,0.10638909448718045
24,mainnet,0x3906aaf0bc3fda9ae37b2a33c29411f25c338998-token-0x88dafebb769311d7fbbeb9a21431fa026d4100d0-member-0x000000000000000000000000000000000000dead,100000000000000000000,0x3906aaf0bc3fda9ae37b2a33c29411f25c338998,0x88dafebb769311d7fbbeb9a21431fa026d4100d0,LUX,18,guild,100.0,33.910000000000004,0.01765,30.320000000000004
25,mainnet,0x3a268279cc57d669925e8b6eb5a7be7da6f18984-token-0x6b175474e89094c44da98b954eedeac495271d0f-member-0x000000000000000000000000000000000000dead,335000000000000000000,0x3a268279cc57d669925e8b6eb5a7be7da6f18984,0x6b175474e89094c44da98b954eedeac495271d0f,DAI,18,guild,335.0,334.8995,0.17443450000000002,299.088
26,mainnet,0x3beb9da3bb0020153ae57a21a8a88166ca5f6f8d-token-0x6b175474e89094c44da98b954eedeac495271d0f-member-0x000000000000000000000000000000000000dead,1000000000000000000,0x3beb9da3bb0020153ae57a21a8a88166ca5f6f8d,0x6b175474e89094c44da98b954eedeac495271d0f,DAI,18,guild,1.0,0.9997,0.0005207,0.8928
27,mainnet,0x4570b4faf71e23942b8b9f934b47ccedf7540162-token-0x0595b5a7740b3f5a83ea62ed970ac101beaa6821-member-0x000000000000000000000000000000000000dead,76198952115277092347,0x4570b4faf71e23942b8b9f934b47ccedf7540162,0x0595b5a7740b3f5a83ea62ed970ac101beaa6821,MCV33,18,guild,76.19895211527708,,,
28,mainnet,0x4570b4faf71e23942b8b9f934b47ccedf7540162-token-0x0ae055097c6d159879521c384f1d2123d1f195e6-member-0x000000000000000000000000000000000000dead,593061,0x4570b4faf71e23942b8b9f934b47ccedf7540162,0x0ae055097c6d159879521c384f1d2123d1f195e6,STAKE,18,guild,5.93061e-13,8.895915e-14,4.63180641e-17,7.941086789999999e-14
29,mainnet,0x4570b4faf71e23942b8b9f934b47ccedf7540162-token-0x0b4a62e52b6efb227a828ed840e0d6175e0c3228-member-0x000000000000000000000000000000000000dead,76198952115277092347,0x4570b4faf71e23942b8b9f934b47ccedf7540162,0x0b4a62e52b6efb227a828ed840e0d6175e0c3228,MCV27,18,guild,76.19895211527708,,,
